Art Technique;Information
Pintura, oli sobre fusta;Blank
Pintura, tremp i oli sobre fusta;Blank
Pintura sobre fusta;Blank
Escultura, fusta policromada;Blank
Escultura, talla en fusta daurada i policromada;Blank
Escultura, fusta daurada i policromada;Blank
Escultura, talla en gres tipus Montjuďc;Blank
Escultura, talla en pedra sorrenca de Montjuďc;Blank
Escultura, relleu tallat en marbre blanc;Blank
Escultura, marbre blanc. Placa rectangular;Blank
Escultura, talla en gres;Blank
Tčxtil, tapís de llana i seda;Blank
Moneda antiga, sesterci de Roma;Blank
Moneda antiga, Antoninus Pius, sesterci de Roma;Blank
Moneda antiga, Marc Aureli, sesterci de Roma;Blank
Moneda corrent, croat de Barcelona;Blank
Moneda corrent, mig croat de Barcelona;Blank
Moneda corrent, dobler de Barcelona;Blank
Moneda corrent, diner de Barcelona;Blank
Moneda corrent, escut de Sevilla;Blank
Moneda corrent, 4 rals de Mčxic;Blank
Moneda corrent, 8 rals de Potosí;Blank
Plat. Llautó, repussat, cisellat i punxonat (amb estampa). Anella de ferro;Blank
Fusta de noguera, os, boix, fusta de ribera i ferro;Blank
Ferró repujat;Blank
Tčxtil. Tafetŕ. Estampació amb motlles de fusta i dibuix;Blank
Tčxtil. Cotó, lli, vitel·la;Blank
Tčxtil. Brocat de vellut cisellat;Blank
Talla en pedra sedimentŕria;Blank
Talla en alabastre;Blank
Cerŕmica vidriada;Blank
Fusta, daruat i policromia;Blank
Vidre bufat;Blank
Cerŕmica;Blank
Acer daurat;Blank
Fusta i pastillatge de guix;Blank
Material animal, os;Blank
Metall, fusta;Blank
Gravat;Blank
Llibre. Paper i pergamí;
